cp,colonia,municipio,estado
"07739","Planetario Lindavista","Gustavo A. Madero","Ciudad de México"
"07740","Valle del Tepeyac","Gustavo A. Madero","Ciudad de México"
"07750","Nueva Vallejo","Gustavo A. Madero","Ciudad de México"
"07754","Lindavista Vallejo III Sección","Gustavo A. Madero","Ciudad de México"
"07755","Lindavista Vallejo II Sección","Gustavo A. Madero","Ciudad de México"
"07760","Magdalena de las Salinas","Gustavo A. Madero","Ciudad de México"
"07770","Panamericana","Gustavo A. Madero","Ciudad de México"
"07770","Ampliación Panamericana","Gustavo A. Madero","Ciudad de México"
"07780","Defensores de La República","Gustavo A. Madero","Ciudad de México"
"07780","Héroe de Nacozari","Gustavo A. Madero","Ciudad de México"
"07790","Guadalupe Victoria","Gustavo A. Madero","Ciudad de México"
"07790","Vallejo Poniente","Gustavo A. Madero","Ciudad de México"
"07800","Industrial","Gustavo A. Madero","Ciudad de México"
"07810","Estrella","Gustavo A. Madero","Ciudad de México"
"07820","Aragón Inguarán","Gustavo A. Madero","Ciudad de México"
"07820","Tres Estrellas","Gustavo A. Madero","Ciudad de México"
"07830","Gertrudis Sánchez 1a Sección","Gustavo A. Madero","Ciudad de México"
"07838","Gertrudis Sánchez 3a Sección","Gustavo A. Madero","Ciudad de México"
"07839","Gertrudis Sánchez 2a Sección","Gustavo A. Madero","Ciudad de México"
"07840","Guadalupe Tepeyac","Gustavo A. Madero","Ciudad de México"
"07840","7 de Noviembre","Gustavo A. Madero","Ciudad de México"
"07850","Bondojito","Gustavo A. Madero","Ciudad de México"
"07850","Faja de Oro","Gustavo A. Madero","Ciudad de México"
"07858","Ampliación Emiliano Zapata","Gustavo A. Madero","Ciudad de México"
"07859","Ampliación Mártires de Río Blanco","Gustavo A. Madero","Ciudad de México"
"07860","La Joyita","Gustavo A. Madero","Ciudad de México"
"07860","Tablas de San Agustín","Gustavo A. Madero","Ciudad de México"
"07869","Belisario Domínguez","Gustavo A. Madero","Ciudad de México"
"07870","Guadalupe Insurgentes","Gustavo A. Madero","Ciudad de México"
"07870","Vallejo","Gustavo A. Madero","Ciudad de México"
"07880","Mártires de Río Blanco","Gustavo A. Madero","Ciudad de México"
"07889","Emiliano Zapata","Gustavo A. Madero","Ciudad de México"
"07890","Cuchilla La Joya","Gustavo A. Madero","Ciudad de México"
"07890","La Joya","Gustavo A. Madero","Ciudad de México"
"07890","Nueva Tenochtitlán","Gustavo A. Madero","Ciudad de México"
"07899","La Malinche","Gustavo A. Madero","Ciudad de México"
"07900","Cuchilla del Tesoro","Gustavo A. Madero","Ciudad de México"
"07910","San Juan de Aragón VII Sección","Gustavo A. Madero","Ciudad de México"
"07918","San Juan de Aragón VI Sección","Gustavo A. Madero","Ciudad de México"
"07919","Ex Ejido San Juan de Aragón Sector 32","Gustavo A. Madero","Ciudad de México"
"07920","El Olivo","Gustavo A. Madero","Ciudad de México"
"07920","San Juan de Aragón","Gustavo A. Madero","Ciudad de México"
"07930","Indeco","Gustavo A. Madero","Ciudad de México"
"07939","Héroes de Chapultepec","Gustavo A. Madero","Ciudad de México"
"07940","Ex Ejido San Juan de Aragón Sector 33","Gustavo A. Madero","Ciudad de México"
"07950","San Juan de Aragón","Gustavo A. Madero","Ciudad de México"
"07960","Héroes de Cerro Prieto","Gustavo A. Madero","Ciudad de México"
"07960","Ex Escuela de Tiro","Gustavo A. Madero","Ciudad de México"
"07960","Fernando Casas Alemán","Gustavo A. Madero","Ciudad de México"
"07969","San Juan de Aragón I Sección","Gustavo A. Madero","Ciudad de México"
"07969","San Juan de Aragón II Sección","Gustavo A. Madero","Ciudad de México"
"07970","San Juan de Aragón III Sección","Gustavo A. Madero","Ciudad de México"
"07979","San Juan de Aragón IV Sección","Gustavo A. Madero","Ciudad de México"
"07979","San Juan de Aragón V Sección","Gustavo A. Madero","Ciudad de México"
"07980","Narciso Bassols","Gustavo A. Madero","Ciudad de México"
"07990","C.T.M. Aragón","Gustavo A. Madero","Ciudad de México"
"08000","Gabriel Ramos Millán Sección Bramadero","Iztacalco","Ciudad de México"
"08010","Ex-Ejido de La Magdalena Mixiuhca","Iztacalco","Ciudad de México"
"08020","Ampliación Gabriel Ramos Millán","Iztacalco","Ciudad de México"
"08030","Gabriel Ramos Millán Sección Cuchilla","Iztacalco","Ciudad de México"
"08040","Carlos Zapata Vela","Iztacalco","Ciudad de México"
"08100","Agrícola Pantitlán","Iztacalco","Ciudad de México"
"08200","Viaducto Piedad","Iztacalco","Ciudad de México"
"08210","Nueva Santa Anita","Iztacalco","Ciudad de México"
"08220","San Pedro","Iztacalco","Ciudad de México"
"08230","San Francisco Xicaltongo","Iztacalco","Ciudad de México"
"08240","Santiago Norte","Iztacalco","Ciudad de México"
"08300","Santa Anita","Iztacalco","Ciudad de México"
"08310","La Cruz","Iztacalco","Ciudad de México"
"08320","Fraccionamiento Coyuya","Iztacalco","Ciudad de México"
"08400","Granjas México","Iztacalco","Ciudad de México"
"08420","Cuchilla Agrícola Oriental","Iztacalco","Ciudad de México"
"08500","Agrícola Oriental","Iztacalco","Ciudad de México"
"08510","El Rodeo","Iztacalco","Ciudad de México"
"08600","La Asunción","Iztacalco","Ciudad de México"
"08610","Zapotla","Iztacalco","Ciudad de México"
"08620","Los Reyes","Iztacalco","Ciudad de México"
"08650","San Miguel","Iztacalco","Ciudad de México"
"08700","Juventino Rosas","Iztacalco","Ciudad de México"
"08710","Tlazintla","Iztacalco","Ciudad de México"
"08720","Gabriel Ramos Millán Sección Tlacotal","Iztacalco","Ciudad de México"
"08730","Gabriel Ramos Millán","Iztacalco","Ciudad de México"
"08760","INPI Picos","Iztacalco","Ciudad de México"
"08760","Los Picos de Iztacalco Sección 2A","Iztacalco","Ciudad de México"
"08760","Los Picos de Iztacalco Sección 1B","Iztacalco","Ciudad de México"
"08770","Los Picos de Iztacalco Sección 1A","Iztacalco","Ciudad de México"
"08800","Santiago Sur","Iztacalco","Ciudad de México"
"08810","Reforma Iztaccíhuatl Norte","Iztacalco","Ciudad de México"
"08830","Militar Marte","Iztacalco","Ciudad de México"
"08840","Reforma Iztaccíhuatl Sur","Iztacalco","Ciudad de México"
"08900","INFONAVIT Iztacalco","Iztacalco","Ciudad de México"
"08910","Santa Cruz","Iztacalco","Ciudad de México"
"08920","Jardines Tecma","Iztacalco","Ciudad de México"
"08930","Campamento 2 de Octubre","Iztacalco","Ciudad de México"
"09000","La Asunción","Iztapalapa","Ciudad de México"
"09000","San Ignacio","Iztapalapa","Ciudad de México"
"09000","San José","Iztapalapa","Ciudad de México"
"09000","San Lucas","Iztapalapa","Ciudad de México"
"09000","San Pablo","Iztapalapa","Ciudad de México"
"09000","San Pedro","Iztapalapa","Ciudad de México"
"09000","Santa Bárbara","Iztapalapa","Ciudad de México"
"09010","Real del Moral","Iztapalapa","Ciudad de México"
"09020","Doctor Alfonso Ortiz Tirado","Iztapalapa","Ciudad de México"
"09030","Paseos de Churubusco","Iztapalapa","Ciudad de México"
"09040","Central de Abasto","Iztapalapa","Ciudad de México"
"09060","Escuadrón 201","Iztapalapa","Ciudad de México"
"09060","Sector Popular","Iztapalapa","Ciudad de México"
"09070","Granjas de San Antonio","Iztapalapa","Ciudad de México"
"09080","Cacama","Iztapalapa","Ciudad de México"
"09089","Unidad Modelo","Iztapalapa","Ciudad de México"
"09090","Héroes de Churubusco","Iztapalapa","Ciudad de México"
"09099","Mexicaltzingo","Iztapalapa","Ciudad de México"
"09100","Juan Escutia","Iztapalapa","Ciudad de México"
"09130","San Lorenzo Xicotencatl","Iztapalapa","Ciudad de México"
"09140","Santa Martha Acatitla Norte","Iztapalapa","Ciudad de México"
"09180","Ermita Zaragoza","Iztapalapa","Ciudad de México"
"09200","Unidad Vicente Guerrero","Iztapalapa","Ciudad de México"
"09208","Chinampac de Juárez","Iztapalapa","Ciudad de México"
"09209","Renovación","Iztapalapa","Ciudad de México"
"09210","Tepalcates","Iztapalapa","Ciudad de México"
"09220","Unidad Ejército Constitucionalista","Iztapalapa","Ciudad de México"
"09230","Álvaro Obregón","Iztapalapa","Ciudad de México"
"09230","Ejército de Oriente","Iztapalapa","Ciudad de México"
"09230","El Paraíso","Iztapalapa","Ciudad de México"
"09230","José María Morelos y Pavón","Iztapalapa","Ciudad de México"
"09239","Ejército de Oriente Zona Peñón","Iztapalapa","Ciudad de México"
"09240","Progresista","Iztapalapa","Ciudad de México"
"09250","La Regadera","Iztapalapa","Ciudad de México"
"09260","Constitución de 1917","Iztapalapa","Ciudad de México"
"09270","Colonial Iztapalapa","Iztapalapa","Ciudad de México"
"09280","Jacarandas","Iztapalapa","Ciudad de México"
"09290","Santa Cruz Meyehualco","Iztapalapa","Ciudad de México"
"09300","Guadalupe del Moral","Iztapalapa","Ciudad de México"
"09310","Leyes de Reforma 1a Sección","Iztapalapa","Ciudad de México"
"09310","Leyes de Reforma 2a Sección","Iztapalapa","Ciudad de México"
"09310","Leyes de Reforma 3a Sección","Iztapalapa","Ciudad de México"
"09319","Cuchilla del Moral","Iztapalapa","Ciudad de México"
"09320","Sideral","Iztapalapa","Ciudad de México"
"09350","Albarrada","Iztapalapa","Ciudad de México"
"09359","Eva Sámano de López Mateos","Iztapalapa","Ciudad de México"
"09360","San Miguel","Iztapalapa","Ciudad de México"
"09360","Ampliación San Miguel","Iztapalapa","Ciudad de México"
"09400","San Juanico Nextipac","Iztapalapa","Ciudad de México"
"09400","El Sifón","Iztapalapa","Ciudad de México"
"09410","Aculco","Iztapalapa","Ciudad de México"
"09410","Jardines de Churubusco","Iztapalapa","Ciudad de México"
"09410","Magdalena Atlazolpa","Iztapalapa","Ciudad de México"
"09410","San José Aculco","Iztapalapa","Ciudad de México"
"09420","Los Picos VI-B","Iztapalapa","Ciudad de México"
"09420","Nueva Rosita","Iztapalapa","Ciudad de México"
"09429","Purísima Atlazolpa","Iztapalapa","Ciudad de México"
"09430","Apatlaco","Iztapalapa","Ciudad de México"
"09430","El Triunfo","Iztapalapa","Ciudad de México"
"09438","Ampliación El Triunfo","Iztapalapa","Ciudad de México"
"09440","El Retoño","Iztapalapa","Ciudad de México"
"09440","San Andrés Tetepilco","Iztapalapa","Ciudad de México"
"09440","Zacahuitzco","Iztapalapa","Ciudad de México"
"09450","Banjidal","Iztapalapa","Ciudad de México"
"09460","Justo Sierra","Iztapalapa","Ciudad de México"
"09470","Sinatel","Iztapalapa","Ciudad de México"
"09479","Ampliación Sinatel","Iztapalapa","Ciudad de México"
"09480","El Prado","Iztapalapa","Ciudad de México"
"09500","Santa María Aztahuacán","Iztapalapa","Ciudad de México"
"09500","Santa María Aztahuacán Ampliación","Iztapalapa","Ciudad de México"
"09510","Santa Martha Acatitla","Iztapalapa","Ciudad de México"
"09520","El Edén","Iztapalapa","Ciudad de México"
"09520","San Sebastián Tecoloxtitla","Iztapalapa","Ciudad de México"
"09530","Santa Martha Acatitla Sur","Iztapalapa","Ciudad de México"
"09550","Monte Alban","Iztapalapa","Ciudad de México"
"09560","Paraje Zacatepec","Iztapalapa","Ciudad de México"
"09570","Santa María Aztahuacán","Iztapalapa","Ciudad de México"
"09578","Ejército de Agua Prieta","Iztapalapa","Ciudad de México"
"09600","Santiago Acahualtepec","Iztapalapa","Ciudad de México"
"09608","Santiago Acahualtepec 1ra. Ampliación","Iztapalapa","Ciudad de México"
"09609","Santiago Acahualtepec 2a. Ampliación","Iztapalapa","Ciudad de México"
"09620","Lomas de Zaragoza","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Corrales","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Acorralado","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Avisadero","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Capilla","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Guadalupe","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Iztlahuaca","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Jardines","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección La Cruz","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Loma Alta","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Mercedes","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Palmitas","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Puente","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Ranchito","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Rancho Bajo","Iztapalapa","Ciudad de México"
"09630","San Miguel Teotongo Sección Torres","Iztapalapa","Ciudad de México"
"09637","Campestre Potrero","Iztapalapa","Ciudad de México"
"09638","Ampliación Emiliano Zapata","Iztapalapa","Ciudad de México"
"09640","Lomas de la Estancia","Iztapalapa","Ciudad de México"
"09640","Xalpa","Iztapalapa","Ciudad de México"
"09648","San Pablo","Iztapalapa","Ciudad de México"
"09660","Citlalli","Iztapalapa","Ciudad de México"
"09670","Palmitas","Iztapalapa","Ciudad de México"
"09680","Tenorios","Iztapalapa","Ciudad de México"
"09689","Barranca de Guadalupe","Iztapalapa","Ciudad de México"
"09690","Iztlahuacán","Iztapalapa","Ciudad de México"
"09696","Miravalles","Iztapalapa","Ciudad de México"
"09698","Miguel de La Madrid Hurtado","Iztapalapa","Ciudad de México"
"09700","Buenavista","Iztapalapa","Ciudad de México"
"09700","Carlos Hank González","Iztapalapa","Ciudad de México"
"09700","Desarrollo Urbano Quetzalcóatl","Iztapalapa","Ciudad de México"
"09700","Santa Cruz Meyehualco","Iztapalapa","Ciudad de México"
"09704","Degollado","Iztapalapa","Ciudad de México"
"09705","Degollado - Mexicatlalli","Iztapalapa","Ciudad de México"
"09706","San José Buenavista","Iztapalapa","Ciudad de México"
"09708","Mixcoatl","Iztapalapa","Ciudad de México"
"09709","Lomas de Santa Cruz","Iztapalapa","Ciudad de México"
"09710","Los Ángeles Apanoaya","Iztapalapa","Ciudad de México"
"09720","Francisco Villa","Iztapalapa","Ciudad de México"
"09720","La Era","Iztapalapa","Ciudad de México"
"09730","Reforma Política","Iztapalapa","Ciudad de México"
"09740","Presidentes de México","Iztapalapa","Ciudad de México"
"09750","Insurgentes","Iztapalapa","Ciudad de México"
"09750","La Polvorilla","Iztapalapa","Ciudad de México"
"09750","Las Peñas","Iztapalapa","Ciudad de México"
"09760","Consejo Agrarista Mexicano","Iztapalapa","Ciudad de México"
"09769","El Triángulo","Iztapalapa","Ciudad de México"
"09770","Puente Blanco","Iztapalapa","Ciudad de México"
"09780","Año de Juárez","Iztapalapa","Ciudad de México"
"09780","Lomas de San Lorenzo","Iztapalapa","Ciudad de México"
"09790","San Lorenzo Tezonco","Iztapalapa","Ciudad de México"
"09800","Culhuacán","Iztapalapa","Ciudad de México"
"09800","El Mirador","Iztapalapa","Ciudad de México"
"09800","Estrella Culhuacán","Iztapalapa","Ciudad de México"
"09800","Fuego Nuevo","Iztapalapa","Ciudad de México"
"09800","San Antonio Culhuacán","Iztapalapa","Ciudad de México"
"09800","San Antonio Culhuacán","Iztapalapa","Ciudad de México"
"09800","San Simón Culhuacán","Iztapalapa","Ciudad de México"
"09800","Tula","Iztapalapa","Ciudad de México"
"09800","Valle de Luces","Iztapalapa","Ciudad de México"
"09810","Granjas Esmeralda","Iztapalapa","Ciudad de México"
"09810","Los Cipreses","Iztapalapa","Ciudad de México"
"09810","Minerva","Iztapalapa","Ciudad de México"
"09810","Progreso del Sur","Iztapalapa","Ciudad de México"
"09819","Valle del Sur","Iztapalapa","Ciudad de México"
"09820","El Santuario","Iztapalapa","Ciudad de México"
"09820","Estrella del Sur","Iztapalapa","Ciudad de México"
"09820","Ricardo Flores Magón","Iztapalapa","Ciudad de México"
"09820","Santa Isabel Industrial","Iztapalapa","Ciudad de México"
"09828","Ampliación Ricardo Flores Magón","Iztapalapa","Ciudad de México"
"09829","Ampliación El Santuario","Iztapalapa","Ciudad de México"
"09830","El Manto","Iztapalapa","Ciudad de México"
"09830","El Molino","Iztapalapa","Ciudad de México"
"09830","Lomas El Manto","Iztapalapa","Ciudad de México"
"09830","Los Ángeles","Iztapalapa","Ciudad de México"
"09830","Paraje San Juan","Iztapalapa","Ciudad de México"
"09837","San Miguel 8va. Ampliación","Iztapalapa","Ciudad de México"
"09838","Plan de Iguala","Iztapalapa","Ciudad de México"
"09839","Ampliación Paraje San Juan","Iztapalapa","Ciudad de México"
"09839","San Juan Joya","Iztapalapa","Ciudad de México"
"09840","Los Reyes Culhuacán","Iztapalapa","Ciudad de México"
"09849","Ampliación Los Reyes","Iztapalapa","Ciudad de México"
"09850","San Juan Xalpa","Iztapalapa","Ciudad de México"
"09850","San Nicolás Tolentino","Iztapalapa","Ciudad de México"
"09850","Santa María del Monte","Iztapalapa","Ciudad de México"
"09856","Estado de Veracruz","Iztapalapa","Ciudad de México"
"09856","Ampliación Veracruzana","Iztapalapa","Ciudad de México"
"09858","Paraje San Juan Cerro","Iztapalapa","Ciudad de México"
"09859","Benito Juárez","Iztapalapa","Ciudad de México"
"09860","Bellavista","Iztapalapa","Ciudad de México"
"09860","Ampliación Bellavista","Iztapalapa","Ciudad de México"
"09860","Casa Blanca","Iztapalapa","Ciudad de México"
"09860","Cerro de La Estrella","Iztapalapa","Ciudad de México"
"09860","Parque Nacional Cerro de la Estrella","Iztapalapa","Ciudad de México"
"09860","El Rodeo","Iztapalapa","Ciudad de México"
"09868","San Juan Estrella","Iztapalapa","Ciudad de México"
"09870","12 de Diciembre","Iztapalapa","Ciudad de México"
"09870","San Andrés Tomatlán","Iztapalapa","Ciudad de México"
"09870","San Andrés Tomatlán","Iztapalapa","Ciudad de México"
"09870","Santa María Tomatlán","Iztapalapa","Ciudad de México"
"09880","El Vergel","Iztapalapa","Ciudad de México"
"09880","Granjas Estrella","Iztapalapa","Ciudad de México"
"09890","Lomas Estrella","Iztapalapa","Ciudad de México"
"09897","Carlos Jonguitud Barrios","Iztapalapa","Ciudad de México"
"09900","Guadalupe","Iztapalapa","Ciudad de México"
"09900","San Antonio","Iztapalapa","Ciudad de México"
"09900","San Lorenzo","Iztapalapa","Ciudad de México"
"09910","La Esperanza","Iztapalapa","Ciudad de México"
"09920","José López Portillo","Iztapalapa","Ciudad de México"
"09930","El Rosario","Iztapalapa","Ciudad de México"
"09940","Jardines de San Lorenzo Tezonco","Iztapalapa","Ciudad de México"
"09960","Celoalliotli","Iztapalapa","Ciudad de México"
"09960","USCOVI","Iztapalapa","Ciudad de México"
"09960","El Molino Tezonco","Iztapalapa","Ciudad de México"
"09960","Allapetlalli","Iztapalapa","Ciudad de México"
"09960","La Planta","Iztapalapa","Ciudad de México"
"09969","Cananea","Iztapalapa","Ciudad de México"
"09970","Valle de San Lorenzo","Iztapalapa","Ciudad de México"
"10000","Lomas Quebradas","La Magdalena Contreras","Ciudad de México"
"10010","La Malinche","La Magdalena Contreras","Ciudad de México"
"10010","San Bartolo Ameyalco","La Magdalena Contreras","Ciudad de México"
"10020","Cuauhtémoc","La Magdalena Contreras","Ciudad de México"
"10130","El Maestro","La Magdalena Contreras","Ciudad de México"
"10200","San Jerónimo Lídice","La Magdalena Contreras","Ciudad de México"
"10300","San Bernabé Ocotepec","La Magdalena Contreras","Ciudad de México"
"10320","El Tanque","La Magdalena Contreras","Ciudad de México"
"10330","Las Cruces","La Magdalena Contreras","Ciudad de México"
"10340","Los Padres","La Magdalena Contreras","Ciudad de México"
"10350","Lomas de San Bernabé","La Magdalena Contreras","Ciudad de México"
"10360","Huayatla","La Magdalena Contreras","Ciudad de México"
"10368","Ampliación Potrerillo","La Magdalena Contreras","Ciudad de México"
"10369","Ampliación Lomas de San Bernabé","La Magdalena Contreras","Ciudad de México"
"10369","Tierra Unida","La Magdalena Contreras","Ciudad de México"
"10370","Palmas","La Magdalena Contreras","Ciudad de México"
"10378","Atacaxco","La Magdalena Contreras","Ciudad de México"
"10379","Vista Hermosa","La Magdalena Contreras","Ciudad de México"
"10380","Barros Sierra","La Magdalena Contreras","Ciudad de México"
"10400","San Jerónimo Aculco","La Magdalena Contreras","Ciudad de México"
"10500","Barrio San Francisco","La Magdalena Contreras","Ciudad de México"
"10580","Barranca Seca","La Magdalena Contreras","Ciudad de México"
"10600","El Rosal","La Magdalena Contreras","Ciudad de México"
"10610","El Toro","La Magdalena Contreras","Ciudad de México"
"10620","Potrerillo","La Magdalena Contreras","Ciudad de México"
"10630","El Ocotal","La Magdalena Contreras","Ciudad de México"
"10640","La Carbonera","La Magdalena Contreras","Ciudad de México"
"10640","Pueblo Nuevo Alto","La Magdalena Contreras","Ciudad de México"
"10640","Pueblo Nuevo Bajo","La Magdalena Contreras","Ciudad de México"
"10660","El Ermitaño","La Magdalena Contreras","Ciudad de México"
"10700","Héroes de Padierna","La Magdalena Contreras","Ciudad de México"
"10710","Santa Teresa","La Magdalena Contreras","Ciudad de México"
"10800","La Cruz","La Magdalena Contreras","Ciudad de México"
"10810","San Francisco","La Magdalena Contreras","Ciudad de México"
"10820","La Guadalupe","La Magdalena Contreras","Ciudad de México"
"10830","La Concepción","La Magdalena Contreras","Ciudad de México"
"10840","Las Calles","La Magdalena Contreras","Ciudad de México"
"10840","Plazuela del Pedregal","La Magdalena Contreras","Ciudad de México"
"10900","San Nicolás Totolapan","La Magdalena Contreras","Ciudad de México"
"10910","La Magdalena","La Magdalena Contreras","Ciudad de México"
